Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
2747,魂,たましい,"soul, spirit",19,0.78,N/A,http://jisho.org/search/魂
2748,滞在,たいざい,"stay, visit",19,0.89,5250,http://jisho.org/search/滞在
2749,連携,れんけい,cooperation,19,0.62,N/A,http://jisho.org/search/連携
2750,ライブ,らいぶ,live (music),19,0.69,N/A,http://jisho.org/search/ライブ
2751,演ずる,えんずる,"play, perform",19,0.85,N/A,http://jisho.org/search/演ずる
2752,廃止,はいし,abolition,19,0.81,5172,http://jisho.org/search/廃止
2753,復活,ふっかつ,"revival, restoration",19,0.95,5243,http://jisho.org/search/復活
2754,借金,しゃっきん,"debt, loan",19,0.97,2484,http://jisho.org/search/借金
2755,常識,じょうしき,"common sense, general knowledge",19,0.96,2902,http://jisho.org/search/常識
2756,闇,やみ,"darkness, dark",19,0.71,N/A,http://jisho.org/search/闇
2757,見守る,みまもる,"watch, observe",19,0.96,5255,http://jisho.org/search/見守る
2758,不便,ふべん,inconvenience,19,0.73,771,http://jisho.org/search/不便
2759,栄養,えいよう,nutrition,19,0.96,3308,http://jisho.org/search/栄養
2760,フランス語,ふらんすご,French language,19,0.76,N/A,http://jisho.org/search/フランス語
2761,アクセス,あくせす,access,19,0.95,N/A,http://jisho.org/search/アクセス
2762,PC,ぴーしー,personal computer,19,0.35,N/A,http://jisho.org/search/PC
2763,不幸,ふこう,"unhappiness, misfortune",19,0.94,1571,http://jisho.org/search/不幸
2764,こだわる,こだわる,stick to; be particular about,19,0.89,N/A,http://jisho.org/search/こだわる
2765,カット,かっと,cut,19,0.91,2372,http://jisho.org/search/カット
2766,乾く,かわく,dry,19,0.9,1661,http://jisho.org/search/乾く
2767,おまけ,おまけ,"addition, free gift",19,0.83,3235,http://jisho.org/search/おまけ
2768,をはじめ,をはじめ,"starting with  .  .  .  , including",19,0.74,N/A,http://jisho.org/search/をはじめ
2769,ついで,ついで,"on one’s way, along the way",19,0.87,4974,http://jisho.org/search/ついで
2770,名称,めいしょう,name,19,0.89,5859,http://jisho.org/search/名称
2771,鍛える,きたえる,"train, discipline",19,0.87,N/A,http://jisho.org/search/鍛える
2772,大学生,だいがくせい,"college student, university student",19,0.91,233,http://jisho.org/search/大学生
2773,左手,ひだりて,left hand; on one’s left,19,0.86,473,http://jisho.org/search/左手
2774,乾燥,かんそう,dryness,19,0.94,3439,http://jisho.org/search/乾燥
2775,たった,たった,"just, only",19,0.76,4533,http://jisho.org/search/たった
2776,およそ,およそ,"around, about",19,0.93,2613,http://jisho.org/search/およそ
2777,八日,ようか,eighth (date); eight days,19,0.49,35,http://jisho.org/search/八日
2778,ぴったり,ぴったり,tight; exactly,19,0.85,4697,http://jisho.org/search/ぴったり
2779,添える,そえる,"attach, add",19,0.76,5291,http://jisho.org/search/添える
2780,ノート,のーと,notebook,19,0.95,775,http://jisho.org/search/ノート
2781,配置,はいち,"arrangement, layout",19,0.89,N/A,http://jisho.org/search/配置
2782,輸出,ゆしゅつ,exportation,19,0.58,1491,http://jisho.org/search/輸出
2783,陰,かげ,"shade, shadow; behind someone’s back",19,0.85,3839,http://jisho.org/search/陰
2784,漬ける,つける,soak; pickle,19,0.86,5946,http://jisho.org/search/漬ける
2785,果物,くだもの,fruit,19,0.9,1143,http://jisho.org/search/果物
2786,個々,ここ,"individual, each",19,0.83,2416,http://jisho.org/search/個々
2787,十六日,じゅうろくにち,sixteenth (date); sixteen days,19,0.45,N/A,http://jisho.org/search/十六日
2788,電話番号,でんわばんごう,telephone number,19,0.63,N/A,http://jisho.org/search/電話番号
2789,混む,こむ,be crowded,19,0.76,N/A,http://jisho.org/search/混む
2790,築く,きづく,"build, have",19,0.94,N/A,http://jisho.org/search/築く
2791,穏やか,おだやか,"mild; calm, peaceful",19,0.92,3836,http://jisho.org/search/穏やか
2792,結び付く,むすびつく,"join, be connected with",19,0.9,N/A,http://jisho.org/search/結び付く
2793,崩れる,くずれる,"crumble, collapse",19,0.99,3104,http://jisho.org/search/崩れる
2794,届ける,とどける,deliver; send; report,19,0.93,816,http://jisho.org/search/届ける
2795,プレー,ぷれー,play,19,0.84,N/A,http://jisho.org/search/プレー
2796,進歩,しんぽ,"progress, advance",19,0.95,2976,http://jisho.org/search/進歩
2797,百,ひゃく,hundred,19,0.87,23,http://jisho.org/search/百
2798,(お)尻,(お)しり,hips,19,0.86,N/A,http://jisho.org/search/(お)尻
2799,汚れる,よごれる,"dirty, soil",19,0.93,1428,http://jisho.org/search/汚れる
2800,産業,さんぎょう,industry,19,0.72,899,http://jisho.org/search/産業
2801,前日,ぜんじつ,"eve, previous day",19,0.94,N/A,http://jisho.org/search/前日
2802,吸収,きゅうしゅう,"absorption, assimilation",19,0.98,3467,http://jisho.org/search/吸収
2803,驚き,おどろき,"surprise, amazement",19,0.89,3582,http://jisho.org/search/驚き
2804,ソ連,それん,Soviet Union,19,0.64,N/A,http://jisho.org/search/ソ連
2805,悲しみ,かなしみ,"sadness, grief",19,0.9,3531,http://jisho.org/search/悲しみ
2806,十一日,じゅういちにち,eleventh (date); eleven days,19,0.47,N/A,http://jisho.org/search/十一日
2807,最低,さいてい,"minimum, lowest",19,0.96,2107,http://jisho.org/search/最低
2808,十六,じゅうろく,sixteen,19,0.88,N/A,http://jisho.org/search/十六
2809,にんにく,にんにく,garlic,19,0.85,N/A,http://jisho.org/search/にんにく
2810,順番,じゅんばん,"turn, order",19,0.94,3282,http://jisho.org/search/順番
2811,裁判所,さいばんしょ,"court, courthouse",19,0.74,3404,http://jisho.org/search/裁判所
2812,観光,かんこう,sightseeing,19,0.94,3149,http://jisho.org/search/観光
2813,申し訳,もうしわけ,"excuse, apology",19,0.88,5287,http://jisho.org/search/申し訳
2814,葉っぱ,はっぱ,leaf,19,0.79,5510,http://jisho.org/search/葉っぱ
2815,生き物,いきもの,"creature, life",19,0.95,2351,http://jisho.org/search/生き物
2816,演出,えんしゅつ,"direction, direct",19,0.8,N/A,http://jisho.org/search/演出
2817,ですが,ですが,"but, however",19,0.71,N/A,http://jisho.org/search/ですが
2818,本気,ほんき,"seriousness, earnestness",19,0.84,4104,http://jisho.org/search/本気
2819,三年生,さんねんせい,"third grade, third year",19,0.85,N/A,http://jisho.org/search/三年生
2820,記入,きにゅう,entry,19,0.5,2924,http://jisho.org/search/記入
2821,見上げる,みあげる,look up; respect,19,0.79,4158,http://jisho.org/search/見上げる
2822,話し合い,はなしあい,"discussion, meeting",19,0.9,4183,http://jisho.org/search/話し合い
2823,値,あたい,price,19,0.79,2240,http://jisho.org/search/値
2824,一人暮らし,ひとりぐらし,"living alone, single life",19,0.88,N/A,http://jisho.org/search/一人暮らし
2825,趣旨,しゅし,"purpose, intention, point",19,0.55,N/A,http://jisho.org/search/趣旨
2826,柔らかい,やわらかい,soft,19,0.89,5599,http://jisho.org/search/柔らかい
2827,舌,した,tongue,19,0.84,1824,http://jisho.org/search/舌
2828,三時間,さんじかん,three hours,19,0.83,N/A,http://jisho.org/search/三時間
2829,後悔,こうかい,"repentance, regret",19,0.82,3801,http://jisho.org/search/後悔
2830,詰める,つめる,"plug, pack, stuff",19,0.99,5662,http://jisho.org/search/詰める
2831,勝利,しょうり,"victory, triumph, winning",19,0.88,N/A,http://jisho.org/search/勝利
2832,自覚,じかく,"consciousness, awareness",19,0.98,N/A,http://jisho.org/search/自覚
2833,今朝,けさ,this morning,19,0.54,564,http://jisho.org/search/今朝
2834,総合的,そうごうてき,"synthetic, integrated, comprehensive",19,0.44,N/A,http://jisho.org/search/総合的
2835,美しさ,うつくしさ,beauty,19,0.89,N/A,http://jisho.org/search/美しさ
2836,法人,ほうじん,corporation,19,0.4,N/A,http://jisho.org/search/法人
2837,滑る,すべる,"slide, slip; be slippery",19,0.94,1696,http://jisho.org/search/滑る
2838,極端,きょくたん,extreme,19,0.98,3204,http://jisho.org/search/極端
2839,留学,りゅうがく,study abroad,19,0.85,1497,http://jisho.org/search/留学
2840,念,ねん,"sense, feeling",18,0.94,N/A,http://jisho.org/search/念
2841,銀座,ぎんざ,Ginza (place name),18,0.81,N/A,http://jisho.org/search/銀座
2842,十五年,じゅうごねん,fifteen years,18,0.92,N/A,http://jisho.org/search/十五年
2843,漂う,ただよう,"drift, float",18,0.81,N/A,http://jisho.org/search/漂う
2844,測る,はかる,measure; weigh,18,0.95,5180,http://jisho.org/search/測る
2845,永遠,えいえん,"eternity, permanence",18,0.9,3116,http://jisho.org/search/永遠
2846,十四日,じゅうよっか,fourteenth (date); fourteen days,18,0.51,N/A,http://jisho.org/search/十四日
2847,取り戻す,とりもどす,"take back, repossess",18,0.95,5259,http://jisho.org/search/取り戻す
2848,いっぺん,いっぺん,at the same time; altogether,18,0.81,N/A,http://jisho.org/search/いっぺん
2849,門,もん,gate,18,0.85,4119,http://jisho.org/search/門
2850,伸び,のび,growth,18,0.35,N/A,http://jisho.org/search/伸び
2851,たどる,たどる,"follow, trace, search",18,0.92,N/A,http://jisho.org/search/たどる
2852,事例,じれい,case,18,0.74,N/A,http://jisho.org/search/事例
2853,どなた,どなた,who,18,0.72,1545,http://jisho.org/search/どなた
2854,やばい,やばい,"risky, chancy",18,0.68,N/A,http://jisho.org/search/やばい
2855,冗談,じょうだん,joke,18,0.85,1884,http://jisho.org/search/冗談
2856,巣,す,nest,18,0.87,3929,http://jisho.org/search/巣
2857,進展,しんてん,"progress, development, evolution",18,0.49,N/A,http://jisho.org/search/進展
2858,手伝い,てつだい,help,18,0.93,5576,http://jisho.org/search/手伝い
2859,死亡,しぼう,"death, decease",18,0.88,2778,http://jisho.org/search/死亡
2860,細胞,さいぼう,cell,18,0.9,N/A,http://jisho.org/search/細胞
2861,犠牲,ぎせい,"sacrifice, expense",18,0.93,3743,http://jisho.org/search/犠牲
2862,殴る,なぐる,"hit, strike",18,0.9,5745,http://jisho.org/search/殴る
2863,前後,ぜんご,back and forth,18,0.98,2113,http://jisho.org/search/前後
2864,対立,たいりつ,"opposition, conflict",18,0.89,1167,http://jisho.org/search/対立
2865,六日,むいか,sixth (date); six days,18,0.52,32,http://jisho.org/search/六日
2866,比率,ひりつ,"ratio, proportion",18,0.49,5069,http://jisho.org/search/比率
2867,タイ,たい,Thailand,18,0.97,N/A,http://jisho.org/search/タイ
2868,放つ,はなつ,"fly, loose",18,0.81,N/A,http://jisho.org/search/放つ
2869,香港,ほんこん,Hong Kong,18,0.98,N/A,http://jisho.org/search/香港
2870,湖,みずうみ,lake,18,0.88,5136,http://jisho.org/search/湖
2871,稼ぐ,かせぐ,earn,18,0.91,3834,http://jisho.org/search/稼ぐ
2872,出現,しゅつげん,"appearance, dawn, birth, advent",18,0.86,N/A,http://jisho.org/search/出現
2873,真実,しんじつ,"truth, reality",18,0.82,2633,http://jisho.org/search/真実
2874,前回,ぜんかい,"last time, previous time",18,0.85,2412,http://jisho.org/search/前回
2875,工事,こうじ,"construction, work",18,0.9,616,http://jisho.org/search/工事
2876,科学,かがく,science,18,0.93,1196,http://jisho.org/search/科学
2877,順,じゅん,order,18,0.81,3281,http://jisho.org/search/順
2878,読者,どくしゃ,reader,18,0.71,4790,http://jisho.org/search/読者
2879,不足,ふそく,"lack, shortage",18,0.94,4363,http://jisho.org/search/不足
2880,社会的,しゃかいてき,social,18,0.87,N/A,http://jisho.org/search/社会的
2881,限定,げんてい,"restriction, limitation",18,0.94,N/A,http://jisho.org/search/限定
2882,劇団,げきだん,theater company,18,0.59,N/A,http://jisho.org/search/劇団
2883,看護婦,かんごふ,nurse (female),18,0.89,1637,http://jisho.org/search/看護婦
2884,人参,にんじん,carrot,18,0.93,N/A,http://jisho.org/search/人参
2885,一面,いちめん,"side, facet",18,0.97,2632,http://jisho.org/search/一面
2886,生涯,しょうがい,"life, lifetime; career",18,0.89,3945,http://jisho.org/search/生涯
2887,意思,いし,"will, intention",18,0.92,N/A,http://jisho.org/search/意思
2888,追加,ついか,"addition, supplement",18,0.91,5067,http://jisho.org/search/追加
2889,台湾,たいわん,Taiwan,18,0.99,N/A,http://jisho.org/search/台湾
2890,日常生活,にちじょうせいかつ,daily life,18,0.93,N/A,http://jisho.org/search/日常生活
2891,拭く,ふく,"wipe, dry",18,0.89,1964,http://jisho.org/search/拭く
2892,レース,れーす,race,18,0.79,N/A,http://jisho.org/search/レース
2893,民族,みんぞく,"people, race, nation",18,0.9,4815,http://jisho.org/search/民族
2894,天,てん,"sky, heaven",18,0.77,4103,http://jisho.org/search/天
2895,花火,はなび,firework,18,0.82,4092,http://jisho.org/search/花火
2896,項目,こうもく,"item, heading",18,0.94,3240,http://jisho.org/search/項目
2897,動向,どうこう,"trend, movement",18,0.42,4651,http://jisho.org/search/動向
2898,にしろ,にしろ,even if,18,0.78,N/A,http://jisho.org/search/にしろ
2899,日頃,ひごろ,every day,18,0.86,N/A,http://jisho.org/search/日頃
2900,砂,すな,sand,18,0.95,3330,http://jisho.org/search/砂
2901,大根,だいこん,"Japanese radish, radish",18,0.9,5505,http://jisho.org/search/大根
2902,感激,かんげき,deep emotion,18,0.81,3579,http://jisho.org/search/感激
2903,浮く,うく,"float, suspend",18,0.93,3113,http://jisho.org/search/浮く
2904,まして,まして,"much less, much more",18,0.93,4621,http://jisho.org/search/まして
2905,リスク,りすく,risk,18,0.93,N/A,http://jisho.org/search/リスク
2906,引っ掛かる,ひっかかる,catch; be caught,18,0.92,5808,http://jisho.org/search/引っ掛かる
2907,オークション,おーくしょん,auction,18,0.34,N/A,http://jisho.org/search/オークション
2908,二十一日,にじゅういちにち,twenty-first (date); twenty-one days,18,0.52,N/A,http://jisho.org/search/二十一日
2909,ほら,ほら,Look!,18,0.83,N/A,http://jisho.org/search/ほら
2910,を通して,をとうして,according to; through,18,0,N/A,http://jisho.org/search/を通して
2911,武器,ぶき,weapon,18,0.97,5615,http://jisho.org/search/武器
2912,都内,とない,in the city,18,0.83,4387,http://jisho.org/search/都内
2913,違反,いはん,violation,18,0.58,2740,http://jisho.org/search/違反
2914,すっきり,すっきり,feel refreshed,18,0.83,2986,http://jisho.org/search/すっきり
2915,十二日,じゅうににち,"twelfth (date), twelve days",18,0.5,N/A,http://jisho.org/search/十二日
2916,別に,べつに,(not) particularly,18,0.76,4846,http://jisho.org/search/別に
2917,十八日,じゅうはちにち,eighteenth (date); eighteen days,18,0.49,N/A,http://jisho.org/search/十八日
2918,お宅,おたく,your house,18,0.91,1506,http://jisho.org/search/お宅
2919,交通,こうつう,traffic; transportation,18,0.93,2159,http://jisho.org/search/交通
2920,業界,ぎょうかい,business world,18,0.98,2435,http://jisho.org/search/業界
2921,解放,かいほう,liberation,18,0.89,3507,http://jisho.org/search/解放
2922,需要,じゅよう,demand,18,0.65,3013,http://jisho.org/search/需要
2923,高度,こうど,altitude,18,0.81,2169,http://jisho.org/search/高度
2924,帰国,きこく,going/coming back to one’s own country,18,0.95,669,http://jisho.org/search/帰国
2925,午前中,ごぜんちゅう,"in the morning, throughout the morning",18,0.92,N/A,http://jisho.org/search/午前中
2926,実践,じっせん,practice,18,0.88,N/A,http://jisho.org/search/実践
2927,深刻,しんこく,serious,18,0.9,3300,http://jisho.org/search/深刻
2928,十八,じゅうはち,eighteen,18,0.89,N/A,http://jisho.org/search/十八
2929,関係者,かんけいしゃ,person concerned,18,0.87,N/A,http://jisho.org/search/関係者
2930,追いかける,おいかける,"run after, chase",18,0.9,N/A,http://jisho.org/search/追いかける
2931,作用,さよう,action,18,0.89,2212,http://jisho.org/search/作用
